Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-02,10,Gula Pasir,32,Maluku Utara,15500.0,1
2026-02-12,2022-01-02,10,Gula Pasir,33,Papua,16850.0,1
2026-02-12,2022-01-02,10,Gula Pasir,34,Papua Barat,15900.0,1
2026-02-12,2022-01-03,10,Gula Pasir,1,Aceh,15200.0,1
2026-02-12,2022-01-03,10,Gula Pasir,2,Sumatera Utara,14350.0,1
2026-02-12,2022-01-03,10,Gula Pasir,3,Sumatera Barat,14450.0,1
2026-02-12,2022-01-03,10,Gula Pasir,4,Riau,12900.0,1
2026-02-12,2022-01-03,10,Gula Pasir,5,Kepulauan Riau,12050.0,1
2026-02-12,2022-01-03,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-03,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-03,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
2026-02-12,2022-01-03,10,Gula Pasir,9,Kepulauan Bangka Belitung,13600.0,1
2026-02-12,2022-01-03,10,Gula Pasir,10,Lampung,13300.0,1
2026-02-12,2022-01-03,10,Gula Pasir,11,Banten,13450.0,1
2026-02-12,2022-01-03,10,Gula Pasir,12,Jawa Barat,13800.0,1
2026-02-12,2022-01-03,10,Gula Pasir,13,DKI Jakarta,14350.0,1
2026-02-12,2022-01-03,10,Gula Pasir,14,Jawa Tengah,13300.0,1
2026-02-12,2022-01-03,10,Gula Pasir,15,DI Yogyakarta,13000.0,1
2026-02-12,2022-01-03,10,Gula Pasir,16,Jawa Timur,12950.0,1
2026-02-12,2022-01-03,10,Gula Pasir,17,Bali,13250.0,1
2026-02-12,2022-01-03,10,Gula Pasir,18,Nusa Tenggara Barat,13800.0,1
2026-02-12,2022-01-03,10,Gula Pasir,19,Nusa Tenggara Timur,15450.0,1
2026-02-12,2022-01-03,10,Gula Pasir,20,Kalimantan Barat,13650.0,1
2026-02-12,2022-01-03,10,Gula Pasir,21,Kalimantan Selatan,15000.0,1
2026-02-12,2022-01-03,10,Gula Pasir,22,Kalimantan Tengah,14550.0,1
2026-02-12,2022-01-03,10,Gula Pasir,23,Kalimantan Timur,14100.0,1
2026-02-12,2022-01-03,10,Gula Pasir,24,Kalimantan Utara,14300.0,1
2026-02-12,2022-01-03,10,Gula Pasir,25,Gorontalo,14650.0,1
2026-02-12,2022-01-03,10,Gula Pasir,26,Sulawesi Selatan,13750.0,1
2026-02-12,2022-01-03,10,Gula Pasir,27,Sulawesi Tenggara,15400.0,1
2026-02-12,2022-01-03,10,Gula Pasir,28,Sulawesi Tengah,14750.0,1
2026-02-12,2022-01-03,10,Gula Pasir,29,Sulawesi Utara,13850.0,1
2026-02-12,2022-01-03,10,Gula Pasir,30,Sulawesi Barat,13450.0,1
2026-02-12,2022-01-03,10,Gula Pasir,31,Maluku,15600.0,1
2026-02-12,2022-01-03,10,Gula Pasir,32,Maluku Utara,15750.0,1
2026-02-12,2022-01-03,10,Gula Pasir,33,Papua,16850.0,1
2026-02-12,2022-01-03,10,Gula Pasir,34,Papua Barat,15900.0,1
2026-02-12,2022-01-04,10,Gula Pasir,1,Aceh,15200.0,1
2026-02-12,2022-01-04,10,Gula Pasir,2,Sumatera Utara,14350.0,1
2026-02-12,2022-01-04,10,Gula Pasir,3,Sumatera Barat,14450.0,1
2026-02-12,2022-01-04,10,Gula Pasir,4,Riau,12900.0,1
2026-02-12,2022-01-04,10,Gula Pasir,5,Kepulauan Riau,12050.0,1
2026-02-12,2022-01-04,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-04,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-04,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
2026-02-12,2022-01-04,10,Gula Pasir,9,Kepulauan Bangka Belitung,13600.0,1
2026-02-12,2022-01-04,10,Gula Pasir,10,Lampung,13300.0,1
2026-02-12,2022-01-04,10,Gula Pasir,11,Banten,13450.0,1
2026-02-12,2022-01-04,10,Gula Pasir,12,Jawa Barat,13800.0,1
2026-02-12,2022-01-04,10,Gula Pasir,13,DKI Jakarta,14350.0,1
2026-02-12,2022-01-04,10,Gula Pasir,14,Jawa Tengah,13250.0,1
2026-02-12,2022-01-04,10,Gula Pasir,15,DI Yogyakarta,13000.0,1
2026-02-12,2022-01-04,10,Gula Pasir,16,Jawa Timur,12950.0,1
2026-02-12,2022-01-04,10,Gula Pasir,17,Bali,13250.0,1
2026-02-12,2022-01-04,10,Gula Pasir,18,Nusa Tenggara Barat,13800.0,1
2026-02-12,2022-01-04,10,Gula Pasir,19,Nusa Tenggara Timur,15450.0,1
2026-02-12,2022-01-04,10,Gula Pasir,20,Kalimantan Barat,13650.0,1
2026-02-12,2022-01-04,10,Gula Pasir,21,Kalimantan Selatan,15000.0,1
2026-02-12,2022-01-04,10,Gula Pasir,22,Kalimantan Tengah,14550.0,1
2026-02-12,2022-01-04,10,Gula Pasir,23,Kalimantan Timur,14250.0,1
2026-02-12,2022-01-04,10,Gula Pasir,24,Kalimantan Utara,14300.0,1
2026-02-12,2022-01-04,10,Gula Pasir,25,Gorontalo,14650.0,1
2026-02-12,2022-01-04,10,Gula Pasir,26,Sulawesi Selatan,13750.0,1
2026-02-12,2022-01-04,10,Gula Pasir,27,Sulawesi Tenggara,15400.0,1
2026-02-12,2022-01-04,10,Gula Pasir,28,Sulawesi Tengah,14750.0,1
2026-02-12,2022-01-04,10,Gula Pasir,29,Sulawesi Utara,13850.0,1
2026-02-12,2022-01-04,10,Gula Pasir,30,Sulawesi Barat,13450.0,1
2026-02-12,2022-01-04,10,Gula Pasir,31,Maluku,15600.0,1
2026-02-12,2022-01-04,10,Gula Pasir,32,Maluku Utara,15750.0,1
2026-02-12,2022-01-04,10,Gula Pasir,33,Papua,16900.0,1
2026-02-12,2022-01-04,10,Gula Pasir,34,Papua Barat,15900.0,1
2026-02-12,2022-01-05,10,Gula Pasir,1,Aceh,15200.0,1
2026-02-12,2022-01-05,10,Gula Pasir,2,Sumatera Utara,14400.0,1
2026-02-12,2022-01-05,10,Gula Pasir,3,Sumatera Barat,14450.0,1
2026-02-12,2022-01-05,10,Gula Pasir,4,Riau,12900.0,1
2026-02-12,2022-01-05,10,Gula Pasir,5,Kepulauan Riau,12100.0,1
2026-02-12,2022-01-05,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-05,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-05,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
2026-02-12,2022-01-05,10,Gula Pasir,9,Kepulauan Bangka Belitung,13600.0,1
2026-02-12,2022-01-05,10,Gula Pasir,10,Lampung,13300.0,1
2026-02-12,2022-01-05,10,Gula Pasir,11,Banten,13450.0,1
2026-02-12,2022-01-05,10,Gula Pasir,12,Jawa Barat,13800.0,1
2026-02-12,2022-01-05,10,Gula Pasir,13,DKI Jakarta,14400.0,1
2026-02-12,2022-01-05,10,Gula Pasir,14,Jawa Tengah,13300.0,1
2026-02-12,2022-01-05,10,Gula Pasir,15,DI Yogyakarta,13000.0,1
2026-02-12,2022-01-05,10,Gula Pasir,16,Jawa Timur,12950.0,1
2026-02-12,2022-01-05,10,Gula Pasir,17,Bali,13250.0,1
2026-02-12,2022-01-05,10,Gula Pasir,18,Nusa Tenggara Barat,13800.0,1
2026-02-12,2022-01-05,10,Gula Pasir,19,Nusa Tenggara Timur,15450.0,1
2026-02-12,2022-01-05,10,Gula Pasir,20,Kalimantan Barat,13650.0,1
2026-02-12,2022-01-05,10,Gula Pasir,21,Kalimantan Selatan,15000.0,1
2026-02-12,2022-01-05,10,Gula Pasir,22,Kalimantan Tengah,14550.0,1
2026-02-12,2022-01-05,10,Gula Pasir,23,Kalimantan Timur,14250.0,1
2026-02-12,2022-01-05,10,Gula Pasir,24,Kalimantan Utara,13900.0,1
2026-02-12,2022-01-05,10,Gula Pasir,25,Gorontalo,14650.0,1
2026-02-12,2022-01-05,10,Gula Pasir,26,Sulawesi Selatan,13750.0,1
2026-02-12,2022-01-05,10,Gula Pasir,27,Sulawesi Tenggara,15400.0,1
2026-02-12,2022-01-05,10,Gula Pasir,28,Sulawesi Tengah,14750.0,1
2026-02-12,2022-01-05,10,Gula Pasir,29,Sulawesi Utara,13850.0,1
2026-02-12,2022-01-05,10,Gula Pasir,30,Sulawesi Barat,13450.0,1
2026-02-12,2022-01-05,10,Gula Pasir,31,Maluku,15600.0,1
2026-02-12,2022-01-05,10,Gula Pasir,32,Maluku Utara,15750.0,1
2026-02-12,2022-01-05,10,Gula Pasir,33,Papua,16900.0,1
2026-02-12,2022-01-05,10,Gula Pasir,34,Papua Barat,16400.0,1
2026-02-12,2022-01-06,10,Gula Pasir,1,Aceh,15200.0,1
2026-02-12,2022-01-06,10,Gula Pasir,2,Sumatera Utara,14400.0,1
2026-02-12,2022-01-06,10,Gula Pasir,3,Sumatera Barat,14450.0,1
2026-02-12,2022-01-06,10,Gula Pasir,4,Riau,12900.0,1
2026-02-12,2022-01-06,10,Gula Pasir,5,Kepulauan Riau,12200.0,1
2026-02-12,2022-01-06,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-06,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-06,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
2026-02-12,2022-01-06,10,Gula Pasir,9,Kepulauan Bangka Belitung,13600.0,1
2026-02-12,2022-01-06,10,Gula Pasir,10,Lampung,13300.0,1
2026-02-12,2022-01-06,10,Gula Pasir,11,Banten,13450.0,1
2026-02-12,2022-01-06,10,Gula Pasir,12,Jawa Barat,13850.0,1
2026-02-12,2022-01-06,10,Gula Pasir,13,DKI Jakarta,14400.0,1
2026-02-12,2022-01-06,10,Gula Pasir,14,Jawa Tengah,13300.0,1
2026-02-12,2022-01-06,10,Gula Pasir,15,DI Yogyakarta,13000.0,1
2026-02-12,2022-01-06,10,Gula Pasir,16,Jawa Timur,13050.0,1
2026-02-12,2022-01-06,10,Gula Pasir,17,Bali,13250.0,1
2026-02-12,2022-01-06,10,Gula Pasir,18,Nusa Tenggara Barat,13750.0,1
2026-02-12,2022-01-06,10,Gula Pasir,19,Nusa Tenggara Timur,15450.0,1
2026-02-12,2022-01-06,10,Gula Pasir,20,Kalimantan Barat,13650.0,1
2026-02-12,2022-01-06,10,Gula Pasir,21,Kalimantan Selatan,15000.0,1
2026-02-12,2022-01-06,10,Gula Pasir,22,Kalimantan Tengah,14600.0,1
2026-02-12,2022-01-06,10,Gula Pasir,23,Kalimantan Timur,14250.0,1
2026-02-12,2022-01-06,10,Gula Pasir,24,Kalimantan Utara,13950.0,1
2026-02-12,2022-01-06,10,Gula Pasir,25,Gorontalo,14650.0,1
2026-02-12,2022-01-06,10,Gula Pasir,26,Sulawesi Selatan,13750.0,1
2026-02-12,2022-01-06,10,Gula Pasir,27,Sulawesi Tenggara,15400.0,1
2026-02-12,2022-01-06,10,Gula Pasir,28,Sulawesi Tengah,14750.0,1
2026-02-12,2022-01-06,10,Gula Pasir,29,Sulawesi Utara,13850.0,1
2026-02-12,2022-01-06,10,Gula Pasir,30,Sulawesi Barat,13450.0,1
2026-02-12,2022-01-06,10,Gula Pasir,31,Maluku,15600.0,1
2026-02-12,2022-01-06,10,Gula Pasir,32,Maluku Utara,15750.0,1
2026-02-12,2022-01-06,10,Gula Pasir,33,Papua,16900.0,1
2026-02-12,2022-01-06,10,Gula Pasir,34,Papua Barat,16400.0,1
2026-02-12,2022-01-07,10,Gula Pasir,1,Aceh,15350.0,1
2026-02-12,2022-01-07,10,Gula Pasir,2,Sumatera Utara,14400.0,1
2026-02-12,2022-01-07,10,Gula Pasir,3,Sumatera Barat,14450.0,1
2026-02-12,2022-01-07,10,Gula Pasir,4,Riau,12900.0,1
2026-02-12,2022-01-07,10,Gula Pasir,5,Kepulauan Riau,12200.0,1
2026-02-12,2022-01-07,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-07,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-07,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
2026-02-12,2022-01-07,10,Gula Pasir,9,Kepulauan Bangka Belitung,13600.0,1
2026-02-12,2022-01-07,10,Gula Pasir,10,Lampung,13300.0,1
2026-02-12,2022-01-07,10,Gula Pasir,11,Banten,13450.0,1
2026-02-12,2022-01-07,10,Gula Pasir,12,Jawa Barat,13850.0,1
2026-02-12,2022-01-07,10,Gula Pasir,13,DKI Jakarta,14400.0,1
2026-02-12,2022-01-07,10,Gula Pasir,14,Jawa Tengah,13400.0,1
2026-02-12,2022-01-07,10,Gula Pasir,15,DI Yogyakarta,13000.0,1
2026-02-12,2022-01-07,10,Gula Pasir,16,Jawa Timur,13100.0,1
2026-02-12,2022-01-07,10,Gula Pasir,17,Bali,13250.0,1
2026-02-12,2022-01-07,10,Gula Pasir,18,Nusa Tenggara Barat,13750.0,1
2026-02-12,2022-01-07,10,Gula Pasir,19,Nusa Tenggara Timur,15450.0,1
2026-02-12,2022-01-07,10,Gula Pasir,20,Kalimantan Barat,13650.0,1
2026-02-12,2022-01-07,10,Gula Pasir,21,Kalimantan Selatan,15000.0,1
2026-02-12,2022-01-07,10,Gula Pasir,22,Kalimantan Tengah,14600.0,1
2026-02-12,2022-01-07,10,Gula Pasir,23,Kalimantan Timur,14250.0,1
2026-02-12,2022-01-07,10,Gula Pasir,24,Kalimantan Utara,13900.0,1
2026-02-12,2022-01-07,10,Gula Pasir,25,Gorontalo,14650.0,1
2026-02-12,2022-01-07,10,Gula Pasir,26,Sulawesi Selatan,13750.0,1
2026-02-12,2022-01-07,10,Gula Pasir,27,Sulawesi Tenggara,15400.0,1
2026-02-12,2022-01-07,10,Gula Pasir,28,Sulawesi Tengah,14750.0,1
2026-02-12,2022-01-07,10,Gula Pasir,29,Sulawesi Utara,13950.0,1
2026-02-12,2022-01-07,10,Gula Pasir,30,Sulawesi Barat,13450.0,1
2026-02-12,2022-01-07,10,Gula Pasir,31,Maluku,15600.0,1
2026-02-12,2022-01-07,10,Gula Pasir,32,Maluku Utara,15750.0,1
2026-02-12,2022-01-07,10,Gula Pasir,33,Papua,16900.0,1
2026-02-12,2022-01-07,10,Gula Pasir,34,Papua Barat,16400.0,1
2026-02-12,2022-01-08,10,Gula Pasir,1,Aceh,15350.0,1
2026-02-12,2022-01-08,10,Gula Pasir,2,Sumatera Utara,14400.0,1
2026-02-12,2022-01-08,10,Gula Pasir,3,Sumatera Barat,14450.0,1
2026-02-12,2022-01-08,10,Gula Pasir,4,Riau,12900.0,1
2026-02-12,2022-01-08,10,Gula Pasir,5,Kepulauan Riau,12200.0,1
2026-02-12,2022-01-08,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-08,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-08,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
2026-02-12,2022-01-08,10,Gula Pasir,9,Kepulauan Bangka Belitung,13600.0,1
2026-02-12,2022-01-08,10,Gula Pasir,10,Lampung,13300.0,1
2026-02-12,2022-01-08,10,Gula Pasir,11,Banten,13450.0,1
2026-02-12,2022-01-08,10,Gula Pasir,12,Jawa Barat,13850.0,1
2026-02-12,2022-01-08,10,Gula Pasir,13,DKI Jakarta,14400.0,1
2026-02-12,2022-01-08,10,Gula Pasir,14,Jawa Tengah,13400.0,1
2026-02-12,2022-01-08,10,Gula Pasir,15,DI Yogyakarta,13000.0,1
2026-02-12,2022-01-08,10,Gula Pasir,16,Jawa Timur,13100.0,1
2026-02-12,2022-01-08,10,Gula Pasir,17,Bali,13250.0,1
2026-02-12,2022-01-08,10,Gula Pasir,18,Nusa Tenggara Barat,13750.0,1
2026-02-12,2022-01-08,10,Gula Pasir,19,Nusa Tenggara Timur,15450.0,1
2026-02-12,2022-01-08,10,Gula Pasir,20,Kalimantan Barat,13650.0,1
2026-02-12,2022-01-08,10,Gula Pasir,21,Kalimantan Selatan,15000.0,1
2026-02-12,2022-01-08,10,Gula Pasir,22,Kalimantan Tengah,14600.0,1
2026-02-12,2022-01-08,10,Gula Pasir,23,Kalimantan Timur,14250.0,1
2026-02-12,2022-01-08,10,Gula Pasir,24,Kalimantan Utara,13900.0,1
2026-02-12,2022-01-08,10,Gula Pasir,25,Gorontalo,14650.0,1
2026-02-12,2022-01-08,10,Gula Pasir,26,Sulawesi Selatan,13750.0,1
2026-02-12,2022-01-08,10,Gula Pasir,27,Sulawesi Tenggara,15400.0,1
2026-02-12,2022-01-08,10,Gula Pasir,28,Sulawesi Tengah,14750.0,1
2026-02-12,2022-01-08,10,Gula Pasir,29,Sulawesi Utara,13950.0,1
2026-02-12,2022-01-08,10,Gula Pasir,30,Sulawesi Barat,13450.0,1
2026-02-12,2022-01-08,10,Gula Pasir,31,Maluku,15600.0,1
2026-02-12,2022-01-08,10,Gula Pasir,32,Maluku Utara,15750.0,1
2026-02-12,2022-01-08,10,Gula Pasir,33,Papua,16900.0,1
2026-02-12,2022-01-08,10,Gula Pasir,34,Papua Barat,16400.0,1
2026-02-12,2022-01-09,10,Gula Pasir,1,Aceh,15350.0,1
2026-02-12,2022-01-09,10,Gula Pasir,2,Sumatera Utara,14400.0,1
2026-02-12,2022-01-09,10,Gula Pasir,3,Sumatera Barat,14450.0,1
2026-02-12,2022-01-09,10,Gula Pasir,4,Riau,12900.0,1
2026-02-12,2022-01-09,10,Gula Pasir,5,Kepulauan Riau,12200.0,1
2026-02-12,2022-01-09,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-09,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-09,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
2026-02-12,2022-01-09,10,Gula Pasir,9,Kepulauan Bangka Belitung,13600.0,1
2026-02-12,2022-01-09,10,Gula Pasir,10,Lampung,13300.0,1
2026-02-12,2022-01-09,10,Gula Pasir,11,Banten,13450.0,1
2026-02-12,2022-01-09,10,Gula Pasir,12,Jawa Barat,13850.0,1
2026-02-12,2022-01-09,10,Gula Pasir,13,DKI Jakarta,14400.0,1
2026-02-12,2022-01-09,10,Gula Pasir,14,Jawa Tengah,13400.0,1
2026-02-12,2022-01-09,10,Gula Pasir,15,DI Yogyakarta,13000.0,1
2026-02-12,2022-01-09,10,Gula Pasir,16,Jawa Timur,13100.0,1
2026-02-12,2022-01-09,10,Gula Pasir,17,Bali,13250.0,1
2026-02-12,2022-01-09,10,Gula Pasir,18,Nusa Tenggara Barat,13750.0,1
2026-02-12,2022-01-09,10,Gula Pasir,19,Nusa Tenggara Timur,15450.0,1
2026-02-12,2022-01-09,10,Gula Pasir,20,Kalimantan Barat,13650.0,1
2026-02-12,2022-01-09,10,Gula Pasir,21,Kalimantan Selatan,15000.0,1
2026-02-12,2022-01-09,10,Gula Pasir,22,Kalimantan Tengah,14600.0,1
2026-02-12,2022-01-09,10,Gula Pasir,23,Kalimantan Timur,14250.0,1
2026-02-12,2022-01-09,10,Gula Pasir,24,Kalimantan Utara,13900.0,1
2026-02-12,2022-01-09,10,Gula Pasir,25,Gorontalo,14650.0,1
2026-02-12,2022-01-09,10,Gula Pasir,26,Sulawesi Selatan,13750.0,1
2026-02-12,2022-01-09,10,Gula Pasir,27,Sulawesi Tenggara,15400.0,1
2026-02-12,2022-01-09,10,Gula Pasir,28,Sulawesi Tengah,14750.0,1
2026-02-12,2022-01-09,10,Gula Pasir,29,Sulawesi Utara,13950.0,1
2026-02-12,2022-01-09,10,Gula Pasir,30,Sulawesi Barat,13450.0,1
2026-02-12,2022-01-09,10,Gula Pasir,31,Maluku,15600.0,1
2026-02-12,2022-01-09,10,Gula Pasir,32,Maluku Utara,15750.0,1
2026-02-12,2022-01-09,10,Gula Pasir,33,Papua,16900.0,1
2026-02-12,2022-01-09,10,Gula Pasir,34,Papua Barat,16400.0,1
2026-02-12,2022-01-10,10,Gula Pasir,1,Aceh,15550.0,1
2026-02-12,2022-01-10,10,Gula Pasir,2,Sumatera Utara,14350.0,1
2026-02-12,2022-01-10,10,Gula Pasir,3,Sumatera Barat,14600.0,1
2026-02-12,2022-01-10,10,Gula Pasir,4,Riau,12950.0,1
2026-02-12,2022-01-10,10,Gula Pasir,5,Kepulauan Riau,12200.0,1
2026-02-12,2022-01-10,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-10,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-10,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
2026-02-12,2022-01-10,10,Gula Pasir,9,Kepulauan Bangka Belitung,13600.0,1
2026-02-12,2022-01-10,10,Gula Pasir,10,Lampung,13400.0,1
