Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-02,4,Telur Ayam,32,Maluku Utara,40050.0,1
2026-02-12,2022-01-02,4,Telur Ayam,33,Papua,38800.0,1
2026-02-12,2022-01-02,4,Telur Ayam,34,Papua Barat,34700.0,1
2026-02-12,2022-01-03,4,Telur Ayam,1,Aceh,30250.0,1
2026-02-12,2022-01-03,4,Telur Ayam,2,Sumatera Utara,28950.0,1
2026-02-12,2022-01-03,4,Telur Ayam,3,Sumatera Barat,29300.0,1
2026-02-12,2022-01-03,4,Telur Ayam,4,Riau,29700.0,1
2026-02-12,2022-01-03,4,Telur Ayam,5,Kepulauan Riau,27650.0,1
2026-02-12,2022-01-03,4,Telur Ayam,6,Jambi,28000.0,1
2026-02-12,2022-01-03,4,Telur Ayam,7,Bengkulu,25650.0,1
2026-02-12,2022-01-03,4,Telur Ayam,8,Sumatera Selatan,27550.0,1
2026-02-12,2022-01-03,4,Telur Ayam,9,Kepulauan Bangka Belitung,30000.0,1
2026-02-12,2022-01-03,4,Telur Ayam,10,Lampung,28350.0,1
2026-02-12,2022-01-03,4,Telur Ayam,11,Banten,28250.0,1
2026-02-12,2022-01-03,4,Telur Ayam,12,Jawa Barat,28850.0,1
2026-02-12,2022-01-03,4,Telur Ayam,13,DKI Jakarta,30000.0,1
2026-02-12,2022-01-03,4,Telur Ayam,14,Jawa Tengah,26600.0,1
2026-02-12,2022-01-03,4,Telur Ayam,15,DI Yogyakarta,26250.0,1
2026-02-12,2022-01-03,4,Telur Ayam,16,Jawa Timur,25900.0,1
2026-02-12,2022-01-03,4,Telur Ayam,17,Bali,26050.0,1
2026-02-12,2022-01-03,4,Telur Ayam,18,Nusa Tenggara Barat,29100.0,1
2026-02-12,2022-01-03,4,Telur Ayam,19,Nusa Tenggara Timur,37300.0,1
2026-02-12,2022-01-03,4,Telur Ayam,20,Kalimantan Barat,31150.0,1
2026-02-12,2022-01-03,4,Telur Ayam,21,Kalimantan Selatan,29750.0,1
2026-02-12,2022-01-03,4,Telur Ayam,22,Kalimantan Tengah,31600.0,1
2026-02-12,2022-01-03,4,Telur Ayam,23,Kalimantan Timur,29800.0,1
2026-02-12,2022-01-03,4,Telur Ayam,24,Kalimantan Utara,29900.0,1
2026-02-12,2022-01-03,4,Telur Ayam,25,Gorontalo,36000.0,1
2026-02-12,2022-01-03,4,Telur Ayam,26,Sulawesi Selatan,25550.0,1
2026-02-12,2022-01-03,4,Telur Ayam,27,Sulawesi Tenggara,29900.0,1
2026-02-12,2022-01-03,4,Telur Ayam,28,Sulawesi Tengah,30200.0,1
2026-02-12,2022-01-03,4,Telur Ayam,29,Sulawesi Utara,27600.0,1
2026-02-12,2022-01-03,4,Telur Ayam,30,Sulawesi Barat,24250.0,1
2026-02-12,2022-01-03,4,Telur Ayam,31,Maluku,39400.0,1
2026-02-12,2022-01-03,4,Telur Ayam,32,Maluku Utara,46000.0,1
2026-02-12,2022-01-03,4,Telur Ayam,33,Papua,38700.0,1
2026-02-12,2022-01-03,4,Telur Ayam,34,Papua Barat,34700.0,1
2026-02-12,2022-01-04,4,Telur Ayam,1,Aceh,30250.0,1
2026-02-12,2022-01-04,4,Telur Ayam,2,Sumatera Utara,28950.0,1
2026-02-12,2022-01-04,4,Telur Ayam,3,Sumatera Barat,29300.0,1
2026-02-12,2022-01-04,4,Telur Ayam,4,Riau,29400.0,1
2026-02-12,2022-01-04,4,Telur Ayam,5,Kepulauan Riau,27650.0,1
2026-02-12,2022-01-04,4,Telur Ayam,6,Jambi,28000.0,1
2026-02-12,2022-01-04,4,Telur Ayam,7,Bengkulu,26450.0,1
2026-02-12,2022-01-04,4,Telur Ayam,8,Sumatera Selatan,27550.0,1
2026-02-12,2022-01-04,4,Telur Ayam,9,Kepulauan Bangka Belitung,29150.0,1
2026-02-12,2022-01-04,4,Telur Ayam,10,Lampung,27950.0,1
2026-02-12,2022-01-04,4,Telur Ayam,11,Banten,27900.0,1
2026-02-12,2022-01-04,4,Telur Ayam,12,Jawa Barat,27950.0,1
2026-02-12,2022-01-04,4,Telur Ayam,13,DKI Jakarta,29350.0,1
2026-02-12,2022-01-04,4,Telur Ayam,14,Jawa Tengah,26150.0,1
2026-02-12,2022-01-04,4,Telur Ayam,15,DI Yogyakarta,25250.0,1
2026-02-12,2022-01-04,4,Telur Ayam,16,Jawa Timur,25450.0,1
2026-02-12,2022-01-04,4,Telur Ayam,17,Bali,26050.0,1
2026-02-12,2022-01-04,4,Telur Ayam,18,Nusa Tenggara Barat,29100.0,1
2026-02-12,2022-01-04,4,Telur Ayam,19,Nusa Tenggara Timur,37300.0,1
2026-02-12,2022-01-04,4,Telur Ayam,20,Kalimantan Barat,31000.0,1
2026-02-12,2022-01-04,4,Telur Ayam,21,Kalimantan Selatan,29750.0,1
2026-02-12,2022-01-04,4,Telur Ayam,22,Kalimantan Tengah,31600.0,1
2026-02-12,2022-01-04,4,Telur Ayam,23,Kalimantan Timur,29300.0,1
2026-02-12,2022-01-04,4,Telur Ayam,24,Kalimantan Utara,29900.0,1
2026-02-12,2022-01-04,4,Telur Ayam,25,Gorontalo,36000.0,1
2026-02-12,2022-01-04,4,Telur Ayam,26,Sulawesi Selatan,25550.0,1
2026-02-12,2022-01-04,4,Telur Ayam,27,Sulawesi Tenggara,29900.0,1
2026-02-12,2022-01-04,4,Telur Ayam,28,Sulawesi Tengah,29750.0,1
2026-02-12,2022-01-04,4,Telur Ayam,29,Sulawesi Utara,27200.0,1
2026-02-12,2022-01-04,4,Telur Ayam,30,Sulawesi Barat,24250.0,1
2026-02-12,2022-01-04,4,Telur Ayam,31,Maluku,39400.0,1
2026-02-12,2022-01-04,4,Telur Ayam,32,Maluku Utara,46000.0,1
2026-02-12,2022-01-04,4,Telur Ayam,33,Papua,39200.0,1
2026-02-12,2022-01-04,4,Telur Ayam,34,Papua Barat,34700.0,1
2026-02-12,2022-01-05,4,Telur Ayam,1,Aceh,30250.0,1
2026-02-12,2022-01-05,4,Telur Ayam,2,Sumatera Utara,29450.0,1
2026-02-12,2022-01-05,4,Telur Ayam,3,Sumatera Barat,29300.0,1
2026-02-12,2022-01-05,4,Telur Ayam,4,Riau,29650.0,1
2026-02-12,2022-01-05,4,Telur Ayam,5,Kepulauan Riau,27350.0,1
2026-02-12,2022-01-05,4,Telur Ayam,6,Jambi,26950.0,1
2026-02-12,2022-01-05,4,Telur Ayam,7,Bengkulu,28850.0,1
2026-02-12,2022-01-05,4,Telur Ayam,8,Sumatera Selatan,27400.0,1
2026-02-12,2022-01-05,4,Telur Ayam,9,Kepulauan Bangka Belitung,28250.0,1
2026-02-12,2022-01-05,4,Telur Ayam,10,Lampung,27350.0,1
2026-02-12,2022-01-05,4,Telur Ayam,11,Banten,27650.0,1
2026-02-12,2022-01-05,4,Telur Ayam,12,Jawa Barat,27600.0,1
2026-02-12,2022-01-05,4,Telur Ayam,13,DKI Jakarta,28650.0,1
2026-02-12,2022-01-05,4,Telur Ayam,14,Jawa Tengah,25300.0,1
2026-02-12,2022-01-05,4,Telur Ayam,15,DI Yogyakarta,24750.0,1
2026-02-12,2022-01-05,4,Telur Ayam,16,Jawa Timur,24700.0,1
2026-02-12,2022-01-05,4,Telur Ayam,17,Bali,25650.0,1
2026-02-12,2022-01-05,4,Telur Ayam,18,Nusa Tenggara Barat,28900.0,1
2026-02-12,2022-01-05,4,Telur Ayam,19,Nusa Tenggara Timur,38200.0,1
2026-02-12,2022-01-05,4,Telur Ayam,20,Kalimantan Barat,31000.0,1
2026-02-12,2022-01-05,4,Telur Ayam,21,Kalimantan Selatan,29600.0,1
2026-02-12,2022-01-05,4,Telur Ayam,22,Kalimantan Tengah,31200.0,1
2026-02-12,2022-01-05,4,Telur Ayam,23,Kalimantan Timur,29050.0,1
2026-02-12,2022-01-05,4,Telur Ayam,24,Kalimantan Utara,40400.0,1
2026-02-12,2022-01-05,4,Telur Ayam,25,Gorontalo,36000.0,1
2026-02-12,2022-01-05,4,Telur Ayam,26,Sulawesi Selatan,25350.0,1
2026-02-12,2022-01-05,4,Telur Ayam,27,Sulawesi Tenggara,29900.0,1
2026-02-12,2022-01-05,4,Telur Ayam,28,Sulawesi Tengah,29750.0,1
2026-02-12,2022-01-05,4,Telur Ayam,29,Sulawesi Utara,27200.0,1
2026-02-12,2022-01-05,4,Telur Ayam,30,Sulawesi Barat,24250.0,1
2026-02-12,2022-01-05,4,Telur Ayam,31,Maluku,39400.0,1
2026-02-12,2022-01-05,4,Telur Ayam,32,Maluku Utara,46000.0,1
2026-02-12,2022-01-05,4,Telur Ayam,33,Papua,39250.0,1
2026-02-12,2022-01-05,4,Telur Ayam,34,Papua Barat,38050.0,1
2026-02-12,2022-01-06,4,Telur Ayam,1,Aceh,30250.0,1
2026-02-12,2022-01-06,4,Telur Ayam,2,Sumatera Utara,29450.0,1
2026-02-12,2022-01-06,4,Telur Ayam,3,Sumatera Barat,29200.0,1
2026-02-12,2022-01-06,4,Telur Ayam,4,Riau,29400.0,1
2026-02-12,2022-01-06,4,Telur Ayam,5,Kepulauan Riau,27350.0,1
2026-02-12,2022-01-06,4,Telur Ayam,6,Jambi,26950.0,1
2026-02-12,2022-01-06,4,Telur Ayam,7,Bengkulu,29850.0,1
2026-02-12,2022-01-06,4,Telur Ayam,8,Sumatera Selatan,27300.0,1
2026-02-12,2022-01-06,4,Telur Ayam,9,Kepulauan Bangka Belitung,27850.0,1
2026-02-12,2022-01-06,4,Telur Ayam,10,Lampung,27100.0,1
2026-02-12,2022-01-06,4,Telur Ayam,11,Banten,26600.0,1
2026-02-12,2022-01-06,4,Telur Ayam,12,Jawa Barat,27300.0,1
2026-02-12,2022-01-06,4,Telur Ayam,13,DKI Jakarta,28500.0,1
2026-02-12,2022-01-06,4,Telur Ayam,14,Jawa Tengah,25000.0,1
2026-02-12,2022-01-06,4,Telur Ayam,15,DI Yogyakarta,24750.0,1
2026-02-12,2022-01-06,4,Telur Ayam,16,Jawa Timur,24650.0,1
2026-02-12,2022-01-06,4,Telur Ayam,17,Bali,25650.0,1
2026-02-12,2022-01-06,4,Telur Ayam,18,Nusa Tenggara Barat,28900.0,1
2026-02-12,2022-01-06,4,Telur Ayam,19,Nusa Tenggara Timur,38200.0,1
2026-02-12,2022-01-06,4,Telur Ayam,20,Kalimantan Barat,30900.0,1
2026-02-12,2022-01-06,4,Telur Ayam,21,Kalimantan Selatan,29150.0,1
2026-02-12,2022-01-06,4,Telur Ayam,22,Kalimantan Tengah,30800.0,1
2026-02-12,2022-01-06,4,Telur Ayam,23,Kalimantan Timur,29050.0,1
2026-02-12,2022-01-06,4,Telur Ayam,24,Kalimantan Utara,32150.0,1
2026-02-12,2022-01-06,4,Telur Ayam,25,Gorontalo,35700.0,1
2026-02-12,2022-01-06,4,Telur Ayam,26,Sulawesi Selatan,25250.0,1
2026-02-12,2022-01-06,4,Telur Ayam,27,Sulawesi Tenggara,29950.0,1
2026-02-12,2022-01-06,4,Telur Ayam,28,Sulawesi Tengah,29750.0,1
2026-02-12,2022-01-06,4,Telur Ayam,29,Sulawesi Utara,26800.0,1
2026-02-12,2022-01-06,4,Telur Ayam,30,Sulawesi Barat,23850.0,1
2026-02-12,2022-01-06,4,Telur Ayam,31,Maluku,39400.0,1
2026-02-12,2022-01-06,4,Telur Ayam,32,Maluku Utara,41750.0,1
2026-02-12,2022-01-06,4,Telur Ayam,33,Papua,39250.0,1
2026-02-12,2022-01-06,4,Telur Ayam,34,Papua Barat,38050.0,1
2026-02-12,2022-01-07,4,Telur Ayam,1,Aceh,30450.0,1
2026-02-12,2022-01-07,4,Telur Ayam,2,Sumatera Utara,29700.0,1
2026-02-12,2022-01-07,4,Telur Ayam,3,Sumatera Barat,29200.0,1
2026-02-12,2022-01-07,4,Telur Ayam,4,Riau,29300.0,1
2026-02-12,2022-01-07,4,Telur Ayam,5,Kepulauan Riau,27350.0,1
2026-02-12,2022-01-07,4,Telur Ayam,6,Jambi,26950.0,1
2026-02-12,2022-01-07,4,Telur Ayam,7,Bengkulu,29850.0,1
2026-02-12,2022-01-07,4,Telur Ayam,8,Sumatera Selatan,27300.0,1
2026-02-12,2022-01-07,4,Telur Ayam,9,Kepulauan Bangka Belitung,27850.0,1
2026-02-12,2022-01-07,4,Telur Ayam,10,Lampung,27100.0,1
2026-02-12,2022-01-07,4,Telur Ayam,11,Banten,26350.0,1
2026-02-12,2022-01-07,4,Telur Ayam,12,Jawa Barat,26800.0,1
2026-02-12,2022-01-07,4,Telur Ayam,13,DKI Jakarta,28350.0,1
2026-02-12,2022-01-07,4,Telur Ayam,14,Jawa Tengah,24650.0,1
2026-02-12,2022-01-07,4,Telur Ayam,15,DI Yogyakarta,24750.0,1
2026-02-12,2022-01-07,4,Telur Ayam,16,Jawa Timur,24350.0,1
2026-02-12,2022-01-07,4,Telur Ayam,17,Bali,25450.0,1
2026-02-12,2022-01-07,4,Telur Ayam,18,Nusa Tenggara Barat,28900.0,1
2026-02-12,2022-01-07,4,Telur Ayam,19,Nusa Tenggara Timur,38150.0,1
2026-02-12,2022-01-07,4,Telur Ayam,20,Kalimantan Barat,30900.0,1
2026-02-12,2022-01-07,4,Telur Ayam,21,Kalimantan Selatan,29100.0,1
2026-02-12,2022-01-07,4,Telur Ayam,22,Kalimantan Tengah,30800.0,1
2026-02-12,2022-01-07,4,Telur Ayam,23,Kalimantan Timur,29200.0,1
2026-02-12,2022-01-07,4,Telur Ayam,24,Kalimantan Utara,32000.0,1
